NAME	STATUS	LOOKED_UP_SYMBOL	TITLE
PLXDC2	valid_symbol	PLXDC2	plexin domain containing 2
MAN1A1	valid_symbol	MAN1A1	"mannosidase, alpha, class 1A, member 1"
TCEB3B	valid_symbol	TCEB3B	transcription elongation factor B polypeptide 3B (elongin A2)
TSGA10	valid_symbol	TSGA10	"testis specific, 10"
CTXL	accession_or_alias	VSIG2	V-set and immunoglobulin domain containing 2
CORO1A	valid_symbol	CORO1A	"coronin, actin binding protein, 1A"
EXT1	valid_symbol	EXT1	Exostoses (multiple) 1
C21ORF24	valid_symbol	C21ORF24	chromosome 21 open reading frame 24
C20ORF152	valid_symbol	C20ORF152	chromosome 20 open reading frame 152
PUM1	valid_symbol	PUM1	pumilio homolog 1 (Drosophila)
TFCP2L3	accession_or_alias	GRHL2	grainyhead-like 2 (Drosophila)
RPS6KB1	valid_symbol	RPS6KB1	"ribosomal protein S6 kinase, 70kDa, polypeptide 1"
CXORF23	valid_symbol	CXORF23	Chromosome X open reading frame 23
ED1	accession_or_alias	EDA	ectodysplasin A
SH3BGRL	valid_symbol	SH3BGRL	SH3 domain binding glutamic acid-rich protein like
FRMD4	accession_or_alias	FRMD4A	FERM domain containing 4A
FLJ20257	accession_or_alias	BCDIN3	"bin3, bicoid-interacting 3, homolog (Drosophila)"
BUB3	valid_symbol	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)
RAMP3	valid_symbol	RAMP3	receptor (calcitonin) activity modifying protein 3
CLDN5	valid_symbol	CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)
KRTAP9-2	valid_symbol	KRTAP9-2	keratin associated protein 9-2
ASCL2	valid_symbol	ASCL2	achaete-scute complex-like 2 (Drosophila)
MRGPRF	valid_symbol	MRGPRF	"MAS-related GPR, member F"
UBE2H	valid_symbol	UBE2H	"ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)"
LOC285513	valid_symbol	LOC285513	hypothetical protein LOC285513
FNBP1	valid_symbol	FNBP1	formin binding protein 1
GLRA2	valid_symbol	GLRA2	"glycine receptor, alpha 2"
